"a3e3e1c3-543d-3bb5-ae65-5f2aec4ad1de","Cooperative Education Program",1
"c070a84f-648f-351d-9499-5d0e30ad02cc","Cooperative Education/Co-op in Life Sciences Communication",1
"e6b4b7ae-0e0b-3aa5-9d77-7fcd90c9cfa3","Cooperative Education Program",1
"8f63bde1-ff7f-3fe7-9901-862908bf134c","Workshop in Dance Activity",1
"f3541888-584a-3923-9ce7-6341ff3d84a1","Cooperative Education/Co-op in Agricultural & Applied Economics",1
"d07193c1-551e-3c4d-82cd-7059fc2cd512","Ballroom Dance I",2
"eb1a8a08-a675-3c45-aa49-23a6589fed56","Fundamentals-Flute",7
"57540351-0e4a-3528-9ac0-84e8f72b41bc","Contemporary Dance I",11
"0422e04f-96d2-3b9f-ba5e-4ed3a43173f6","Fundamentals: Single Reeds",14
"3e2fe18a-32f9-3e6f-a627-f77481eb84d9","Fundamentals-Low Brass",24
"e26a2ec7-13ee-346b-a89f-c71e34c0a1e1","Fundamentals-Percussion",27
"34188bed-84e7-318b-9d5f-34b4c33e7d0e","Fundamentals-High Strings",32
"a4f57833-e0d4-3e68-ab57-15370781370e","Fundamentals-Low Strings",36
"ff31520a-b86c-308e-a9d1-302ec27c91ee","Wind Ensemble",40
"6b28c9cc-9542-37c4-aa81-32c213581086","Concert Band",41
"e72b36f3-cf58-36c9-950d-4ba4be613c1f","Varsity Band",42
"1b2b661b-c246-31cc-be63-6a69751e5f78","University Band",43
"b92b57e9-1cec-3cc2-a08e-97974fd4d503","Basic Oboe",49
"e85a303a-b2d1-3b8f-ba42-1672b967993b","Concert Choir",50
"f5c471e0-4b9f-3ce0-9e2a-f6e13a711be1","Basic Clarinet",51
"46e8cbb8-bda3-3ac0-a01c-79b5885a14d7","Women's Chorus",52
"fd44f357-ebcd-3115-a512-4c6c6e80b1cf","Choral Union",53
"4762f606-7b79-31d2-997b-b2493783c68e","Masters' Singers",55
"30542403-103b-3404-bd1f-d018830fca7e","Chorale",56
"6a085ecd-61f3-38b2-9806-3b78bdb23280","Madrigal Singers",58
"5bbcf5a4-16fa-3675-ad1f-abb77711fdeb","University Chorus",59
"72f97093-b365-3016-8beb-941a785b5231","All-University String Orchestra",60
"276b8f81-6d21-3b97-b8cd-84fc43b66851","Chamber Orchestra",61
"4b2dfdea-9718-3990-9e87-6ac1bdae49f2","University Symphony Orchestra",62
"298d1deb-0ab6-3b3a-8138-a5eff2cb18b2","Basic Tuba",65
"35322b31-f456-311e-92af-c90832e511df","Basic Cello",75
"54f64f0b-de57-368f-8ff5-830984fe3a04","Basic Guitar",76
"4967ab42-4b12-3335-b70c-7492147cfb83","Basic Harp",79
"8a904e20-d3a3-3daa-ab64-e36e93f0c044","Fundamental Mathematical Skills",95
"fdc4d039-699e-341d-89f0-cfef38423325","Introduction to Folklore",100
